93,Unofficial media,Media,94
14,Central official media,Media,123
26,Central official media,Media,243
62,Central official media,Media,358
37,Unofficial media,Media,8
79,Central official media,Media,178
60,Unofficial media,Media,9
38,Unofficial media,Media,40
52,Local media,Media,327
17,Local media,Media,723
35,Unofficial media,Media,9
27,Central official media,Media,201
55,Unofficial media,Media,1186
95,Unofficial media,Media,8
71,Personal & business accounts,Personal & business accounts,57
77,Central official media,Media,4062
67,Personal & business accounts,Personal & business accounts,110
70,Government agencies of China,Institutions,113
20,Unofficial media,Media,207
53,Unofficial media,Media,280
36,Unofficial media,Media,343
25,Unofficial media,Media,354
45,Unofficial media,Media,46
12,Unofficial media,Media,232
64,Central official media,Media,4610
59,Personal & business accounts,Personal & business accounts,25
50,Personal & business accounts,Personal & business accounts,52
88,Unofficial media,Media,4302
10,Central official media,Media,121
76,Central official media,Media,414
16,Government agencies of China,Institutions,113
90,Unofficial media,Media,11
86,Unofficial media,Media,15
23,Central official media,Media,233
80,Central official media,Media,127
48,Central official media,Media,4747
7,Unofficial media,Media,1571
94,Personal & business accounts,Personal & business accounts,327
75,Personal & business accounts,Personal & business accounts,105
68,Personal & business accounts,Personal & business accounts,336
56,Unofficial media,Media,1574
63,Government agencies of China,Institutions,139
40,Unofficial media,Media,215
57,Personal & business accounts,Personal & business accounts,15
69,Personal & business accounts,Personal & business accounts,8
24,Local media,Media,158
34,Unofficial media,Media,11
5,Unofficial media,Media,80
39,Unofficial media,Media,41
31,Unofficial media,Media,64
82,Personal & business accounts,Personal & business accounts,10
29,Personal & business accounts,Personal & business accounts,28
15,International institutions,Institutions,296
46,Central official media,Media,116
54,Personal & business accounts,Personal & business accounts,8
51,Unofficial media,Media,8
74,Personal & business accounts,Personal & business accounts,44
11,Central official media,Media,3508
96,Unofficial media,Media,10
100,Central official media,Media,5423
81,Unofficial media,Media,236
89,Central official media,Media,511
22,Government agencies of China,Institutions,139
66,Personal & business accounts,Personal & business accounts,21
44,Personal & business accounts,Personal & business accounts,1241
98,Local media,Media,642
21,Personal & business accounts,Personal & business accounts,114
87,Personal & business accounts,Personal & business accounts,56
91,Government agencies of China,Institutions,182
58,Personal & business accounts,Personal & business accounts,19
61,Unofficial media,Media,960
43,Unofficial media,Media,80
72,Central official media,Media,181
42,Central official media,Media,218
6,Local media,Media,176
97,Local media,Media,191
9,Local media,Media,222
18,Local media,Media,389
3,Central official media,Media,931
73,Unofficial media,Media,70
83,Unofficial media,Media,27
32,Central official media,Media,712
28,Central official media,Media,1557
33,Local media,Media,171
41,Personal & business accounts,Personal & business accounts,23
92,Unofficial media,Media,74
13,Government agencies of China,Institutions,139
78,Unofficial media,Media,789
30,Personal & business accounts,Personal & business accounts,81
1,Personal & business accounts,Personal & business accounts,1563
49,Personal & business accounts,Personal & business accounts,26
99,Personal & business accounts,Personal & business accounts,1384
2,Universities,Institutions,464
47,Central official media,Media,172
84,Central official media,Media,209
85,Central official media,Media,711
4,Government agencies of China,Institutions,381
8,Central official media,Media,3251
65,Personal & business accounts,Personal & business accounts,419
19,Government agencies of China,Institutions,114
